,0
0,33924.58920090004
1,34534.46181686418
2,32263.01328954459
3,34959.33985737744
4,24413.22782007305
5,22133.359852069803
6,21033.5487046461
7,23159.141063241357
8,16677.512408318573
9,12275.75072527936
10,12363.647184924059
11,13123.731468281127
12,9861.472587972123
13,4207.2129268374
14,5266.144873228741
15,4869.458595433072
16,4028.7633024885295
17,-2053.56891802673
18,-548.8692328224349
19,-1589.7187076194782
20,-1000.5154228367451
21,-6690.974511449145
22,-5285.098759704403
23,-6408.866922099995
24,-5330.422295230666
25,-10047.74651353563
26,-8974.929449096773
27,-9761.206748010227
28,-8782.719591045374
29,-12178.460124515766
30,-11882.119237431703
31,-12058.264995739506
32,-11469.93523226822
33,-13555.645324299963
34,-13860.963203793239
35,-13450.889104103913
36,-13317.987367241729
37,-14328.814333915716
38,-14985.189412500717
39,-14167.64012343104
40,-14344.553240716275
41,-14703.779043401713
42,-15391.8602418223
43,-14379.357453581772
44,-14636.724771284216
45,-14667.742949119001
46,-15159.529598303172
47,-14164.637655260714
48,-14321.707512193538
49,-14307.12837234852
50,-14493.099792750749
51,-13545.28819669111
52,-13525.298113804114
53,-13591.771927052314
54,-13524.20657014947
55,-12605.36013832015
56,-12399.143228670599
57,-12549.641685294719
58,-12349.235310524435
59,-11367.742771222878
60,-11052.323270881709
61,-11211.701371891922
62,-11040.933853345645
63,-9929.322702187512
64,-9570.074627370435
65,-9631.648659572702
66,-9632.342650578183
67,-8342.65903402455
68,-7983.219090077272
69,-7894.867169395645
70,-8130.8216941178935
71,-6712.315354275493
72,-6338.35041166818
73,-6114.179234903808
74,-6531.524086387554
75,-5100.746040623898
76,-4645.594433879247
77,-4359.328342316951
78,-4846.1698703606735
79,-3562.25920069317
80,-2922.539924778656
81,-2661.477903260799
82,-3088.500325411368
83,-2115.0652705481625
84,-1221.0629358041754
85,-1068.854819580953
86,-1330.827522410538
87,-759.0436561624114
88,412.0074012084015
89,417.4654814959935
90,373.773932700271
91,522.7498802629701
92,1934.306940843295
93,1807.7288784903747
94,1960.4072357231887
95,1753.4948132347797
96,3266.8630995924086
97,3106.823789346158
98,3369.1467037143407
99,2963.8251219009617
100,4417.710533486789
101,4327.104509003968
102,4583.809437246586
103,4125.777706582045
104,5361.9530424883
105,5444.056383871053
106,5596.24068355036
107,5217.601046673011
108,6123.75731027144
109,6442.923512996163
110,6419.6636272361775
111,6200.262763612707
112,6742.26798214674
113,7304.38094298299
114,7095.694494326579
115,7057.690686565082
116,7242.407676577499
117,7979.927483179305
118,7609.428962468395
119,7707.977590766136
120,7633.347303915589
121,8464.943696336984
122,8024.5365772600835
123,8171.674112125249
124,7983.228400867667
125,8887.098446478602
126,8304.127888785897
127,8370.785732280052
128,8229.624086254116
129,8963.480797608907
130,8517.203097529178
131,8477.40900813837
132,8370.903807589651
133,8909.017769924189
134,8632.012497458161
135,8447.533413667332
136,8402.799181021863
137,8735.299751847695
138,8621.10320799841
139,8299.326865193496
140,8306.090568507017
141,8471.161330266554
142,8471.240267192996
143,8057.595275416771
144,8089.174428955381
145,8138.961946083911
146,8200.886232705483
147,7739.877157929777
148,7746.282470165086
149,7745.09287449807
150,7812.165541242802
151,7346.941663217113
152,7316.891705742548
153,7309.717767452649
154,7342.524154424752
155,6870.7891090494395
156,6793.183495605708
157,6785.4930630148765
158,6803.003767103515
159,6340.061879465683
160,6216.744158696261
161,6201.129231492285
162,6212.005661683051
163,5751.071711835827
164,5591.951498569033
165,5558.914046751589
166,5589.488245892249
167,5132.337406578083
168,4924.460966985025
169,4863.079506426739
170,4933.211464889733
171,4471.199663299353
172,4224.816648098256
173,4135.422371529908
174,4242.407310792234
175,3806.507396209372
176,3512.851386694354
177,3403.330101094171
178,3524.5319318186416
179,3141.731949888391
180,2771.496852865772
181,2681.5351921757347
182,2786.4082346903515
183,2500.1309350908064
184,2038.0098388001627
185,1966.6471809671189
186,2023.3806195656593
187,1853.0651453276064
188,1326.6173205483265
189,1273.0408537430249
190,1269.5586788485552
191,1226.7277188693183
192,640.2470264392064
193,595.3782999018355
194,534.1068269495447
195,618.1228347329555
196,11.124707325186364
197,-53.5991538325103
198,-170.1303032751996
199,-7.285066892757129
200,-588.1065749285868
201,-694.4638804345926
202,-809.9314401926495
203,-612.6204453621764
204,-1111.6707432609578
205,-1308.333277693285
206,-1395.0275163615886
207,-1211.62138166674
208,-1579.386337283455
209,-1866.8669160359996
210,-1899.9221071773213
211,-1782.1065254048854
212,-1999.84838600268
213,-2379.668861345364
214,-2364.678202074388
215,-2322.2817506198876
216,-2387.783364589138
217,-2831.3205063863006
218,-2782.468895896734
219,-2814.1771952687063
220,-2742.133514570785
221,-3222.039717631842
222,-3165.8819397619495
223,-3239.2332495472274
224,-3086.5770355793857
225,-3558.3807517540245
226,-3511.789630677393
227,-3593.4023845405
228,-3400.4484004046326
229,-3798.2345639855102
230,-3808.0771905234096
231,-3857.5216475617567
232,-3678.396047978134
233,-3978.944575435307
234,-4058.797325624873
235,-4059.0078207548286
236,-3928.472419833145
237,-4108.225133585179
238,-4250.296884948266
239,-4203.089649837026
240,-4126.035252214069
241,-4191.203339428574
242,-4390.154947207497
243,-4295.732388192322
244,-4283.476404381905
245,-4242.99448670261
246,-4471.0538677116365
247,-4350.39330234079
248,-4369.92815605092
249,-4266.869552659825
250,-4497.760576348641
251,-4359.8541470068785
252,-4385.424780666492
253,-4254.611924643755
254,-4457.76911332819
255,-4346.212920731211
256,-4352.179594417985
257,-4224.38346051659
258,-4374.456208885217
259,-4279.601419465034
260,-4249.956514168809
261,-4139.2150815678
262,-4246.717312661626
263,-4180.016365904101
264,-4116.472352762585
265,-4044.5614917829434
266,-4091.763047864754
267,-4041.8440777804844
268,-3941.524481895067
269,-3893.0364347791565
270,-3888.915784902227
271,-3863.1768700806724
272,-3730.3746244401495
273,-3708.4102258310536
274,-3677.6108030034666
275,-3672.050129079174
276,-3520.9641672659
277,-3497.7979984106264
278,-3436.1470582274915
279,-3434.6854745487376
280,-3268.410879241543
281,-3242.1217645538622
282,-3187.4696441724072
283,-3201.9519109536504
284,-3019.53280812348
285,-2974.973721276505
286,-2913.194141706609
287,-2931.8549150150943
288,-2735.5967762853766
289,-2680.792866441643
290,-2621.7299260111668
291,-2649.579698713647
292,-2459.103179182556
293,-2384.8137880990257
294,-2337.237832062522
295,-2359.02006238834
296,-2175.5641328638976
297,-2069.5436409481326
298,-2022.6452979695205
299,-2045.6264141214997
300,-1889.1204474480378
301,-1771.1543848847687
302,-1717.4963112697528
303,-1735.9913388143586
304,-1607.856693863574
305,-1462.4161488873667
306,-1418.0461500505112
307,-1424.4013020784278
308,-1344.0159667904286
309,-1167.183966396663
310,-1112.5073130998355
311,-1099.7889029811377
312,-1067.237307909983
313,-849.1194647725064
314,-807.4528646467027
315,-777.553326323825
316,-784.462172200463
317,-553.0870576800608
318,-517.0876512594991
319,-473.03546119322715
320,-499.4139216264771
321,-269.07142548635017
322,-224.3249714518829
323,-170.69899837150717
324,-217.5221156117541
325,-9.728274585651903
326,47.66440422690427
327,106.10155122766088
328,45.46121298930162
329,221.78650655408373
330,309.10712332034245
331,366.4789868744739
332,311.50943805986645
333,429.03503758475233
334,550.7840559073836
335,588.9499353008002
336,553.1356824815538
337,615.0112188271848
338,781.3172201128608
339,801.7131852307905
340,786.4033939339398
341,791.0974954433573
342,979.1243498025726
343,984.3356781327577
344,992.8515706571961
345,963.4094283594424
346,1150.952034191138
347,1150.7716722508508
348,1183.2725517362906
349,1120.5484639470296
350,1303.0195080665499
351,1303.0106326005273
352,1351.5290229325176
353,1274.8569343612464
354,1427.0693441034582
355,1443.1159502540193
356,1486.4417933611342
357,1423.5748248241232
358,1527.2458206360423
359,1578.035281104602
360,1605.6232149064354
361,1543.7178241512054
362,1596.1545454456123
363,1671.5720811038368
364,1676.3773394318475
365,1639.943776603002
366,1650.9436391183685
367,1753.8051706851693
368,1738.334788617384
369,1720.645362333535
370,1699.082682370964
371,1807.1524013401274
372,1776.6409806364982
373,1785.2284142000155
374,1737.630961000501
375,1838.5113346206533
376,1793.2102734197867
377,1809.826194910186
378,1743.8342801000922
379,1831.4236593527912
380,1800.6839172783352
381,1819.9034786289637
382,1750.2787659697844
383,1807.7644168352485
384,1795.0513985082869
385,1805.069195712491
386,1740.5379502744563
387,1774.8798832737443
388,1778.8178453342273
389,1768.5342251177667
390,1713.6011932639394
391,1720.178793471968
392,1731.5484143700141
393,1709.8287432144464
394,1672.8793967545168
395,1664.5199035481915
396,1683.715381423724
397,1635.694028007454
398,1609.967832097118
399,1581.285013345156
400,1597.5321971367362
401,1531.5172572721406
402,1522.1464286401967
403,1466.7175913307492
404,1479.793173878634
405,1412.5751133983722
406,1398.9445909496656
407,1339.9370788270023
408,1350.8753672159148
409,1292.8869778568014
410,1278.5821999094055
411,1235.1985194334595
412,1246.1872640744712
413,1195.6799447726692
414,1185.2530762603371
415,1149.7061406802106
416,1166.1624565058155
417,1117.7739766610316
418,1107.3621096849552
419,1083.7410343877211
420,1099.8833376797038
421,1075.5862380845615
422,1045.5405214359957
423,1034.6354971317382
424,1044.8713500405117
425,1018.92117052676
426,974.4849530994351
427,968.1464259952454
428,963.4523025924688
429,935.4555233228092
430,888.1573073111513
431,881.8162543770939
432,867.0410180514837
433,844.3973650090911
434,785.3725386765127
435,772.8684806474357
436,755.187020767979
437,739.136233011552
438,675.733027432354
439,659.5039538182128
440,626.7218209882632
441,628.4998528329716
442,557.8695516997427
443,532.2022330574607
444,507.3481663064307
445,506.96275843386843
446,432.6200135657183
447,400.53548465766727
448,379.1780873280008
449,383.76583091845475
450,314.98916124743613
451,268.51255934271336
452,247.1978991914168
453,257.29594337062974
454,208.1098341257412
455,161.89706220958323
456,141.37511492095163
457,148.91051690623857
458,94.53238087487847
459,47.931024950199
460,35.071614789798076
461,26.506872658643488
462,-5.732246739797574
463,-60.15511792018492
464,-73.82646771922339
465,-95.62975231492186
466,-108.4152364061996
467,-166.04043064688506
468,-183.15648501985874
469,-202.01213360475688
470,-195.07230118444244
471,-263.42758547138214
472,-288.200183681573
473,-307.0943204110569
474,-287.8902463355982
475,-348.1562378045394
476,-369.4022628755257
477,-392.81537850078763
478,-372.06819144831763
479,-427.4414942912623
480,-443.95949122942864
481,-464.36639633717994
482,-445.719257991204
483,-492.94118383434216
484,-502.6901626380606
485,-514.115438067722
486,-509.86291889060436
487,-537.6450469269038
488,-561.4384609581891
489,-568.9912767747511
490,-571.7962459767837
491,-578.7960151133794
492,-609.1606215826865
493,-613.8424165091055
494,-622.6895694339853
495,-613.5000591790177
496,-642.7387482844991
497,-646.1921294151281
498,-650.9704429137074
499,-631.7120588993967
500,-673.4507811822643
501,-671.490929596116
502,-677.589884919617
503,-652.487864415146
504,-691.2160712364398
505,-682.0281452586834
506,-692.2997256738169
507,-676.1814202352366
508,-709.1317777844288
509,-692.8977135116108
510,-695.3127438507546
511,-681.034555117725
512,-696.6257512121673
513,-690.3115764808178
514,-701.2359151986083
515,-685.4704654198457
516,-685.1955479814544
517,-681.4750118743759
518,-678.0506800907164
519,-665.9761350156655
520,-656.6667108000373
521,-666.4119087187144
522,-664.6531478827426
523,-655.1685542903225
524,-660.2345130873961
525,-680.7789829375149
526,-662.0207151252491
527,-646.2814068474313
528,-620.5284937860949
529,-639.9000731397858
530,-610.8630661107784
531,-604.5128613417795
532,-578.6437039675111
533,-597.3939385592763
534,-568.8168876366599
535,-562.1277590913558
536,-545.3967123818387
537,-547.4479690309028
538,-516.9619320419542
539,-518.2169489453337
540,-509.06893923339027
541,-509.57751968830814
542,-490.57041085386066
543,-493.76173878932946
544,-479.21660745371236
545,-469.0510054418353
546,-451.6049853737435
547,-443.9416623273686
548,-429.2794065692788
549,-418.28510554580885
550,-414.4992200252517
551,-402.52203633264946
552,-400.45535039640663
553,-382.16632304906676
554,-382.28975571946785
555,-355.03509293569346
556,-352.70333662354824
557,-338.72604013041735
558,-344.0241634163116
559,-309.7714515592317
560,-305.6978810790023
561,-299.1637146677872
562,-293.36430971763934
563,-266.1584039663989
564,-264.84582978356724
565,-253.32435323755843
566,-253.28907730173495
567,-225.18603342129018
568,-221.79011316886454
569,-201.6805161722421
570,-203.35803844420238
571,-180.16901821953647
572,-182.82962536914076
573,-165.1509268360983
574,-160.3666675866841
575,-140.6757716270742
576,-128.0990542087531
577,-115.2674626534959
578,-110.81353363017335
579,-107.36636159478371
580,-85.45939393863677
581,-77.21590148998166
582,-76.42629109625008
583,-65.33544469059649
584,-38.64067089918072
585,-31.857520039811845
586,-28.74776100770592
587,-20.328657722168458
588,6.188243831729096
589,5.398629883666047
590,8.382102411262082
591,10.453361031809521
592,35.89877606487413
593,28.443491351563615
594,44.96839273592032
595,45.07186525564617
596,61.703504863654295
597,56.76548186412688
598,77.55277921141607
599,72.03086818505736
600,82.48073095486816
601,86.95892498811537
602,103.32167309996801
603,98.99949016483134
604,106.55809137275116
605,125.43084520361555
606,138.3741008608258
607,132.96279831419434
608,145.5086348497615
609,162.04008355685795
610,167.23069984176928
611,157.06023585045847
612,166.27648758294072
613,182.5585678687529
614,177.82606180018735
615,181.38338897949774
616,185.97063657921132
617,203.40091043064717
618,198.5953584419012
619,206.88584683875183
620,209.8989032109403
621,220.52325281627745
622,211.27496409584882
623,221.66125509649248
624,218.78864079079278
625,222.1463377873664
626,223.7101971117383
627,229.47792778270198
628,222.61321490602705
629,226.485110417409
630,230.11278636300722
631,228.31300237653755
632,211.62199816510446
633,218.12096539476715
634,227.48217794004478
635,239.16050210724478
636,229.11242755553957
637,238.69180622417838
638,247.13320827658237
639,242.95219023859508
640,234.5121950754875
641,237.96531490866323
642,245.26559032265283
643,235.3869474633779
644,238.57186635135434
645,239.5802041245426
646,240.66773723251768
647,229.94581873424113
648,235.46337800384657
649,226.59162810593847
650,226.59171602014396
651,231.95490942710734
652,239.44025865215966
653,230.64182021436272
654,230.28146365149297
655,234.21717791098536
656,240.20615217304567
657,223.29626150166166
658,225.16952372425334
659,222.56769931640076
660,221.15571737149503
661,204.63053681501384
662,210.1812453316571
663,209.33958750644933
