,0
123,-4300.370788021553
124,-4231.1732758009975
125,-4446.472581606326
126,-4396.90074765873
127,-4444.521957876804
128,-4374.601651852598
129,-4540.146418114371
130,-4528.244451343188
131,-4547.582317187808
132,-4423.521424226146
133,-4560.344195976096
134,-4574.116031655019
135,-4529.893926364837
136,-4410.537768340376
137,-4466.989679145204
138,-4559.256593967047
139,-4492.9733019428395
140,-4416.063315973984
141,-4399.435719748713
142,-4498.694686327631
143,-4406.617504910421
144,-4369.99505396702
145,-4276.782231723446
146,-4411.6620388724705
147,-4293.433465442482
148,-4240.914909784619
149,-4082.0209972402668
150,-4220.988296762253
151,-4119.758662369876
152,-4075.62335571814
153,-3917.554587333355
154,-3996.4418443923364
155,-3889.9569459178642
156,-3861.3649777931546
157,-3662.9423551608174
158,-3695.0034819727734
159,-3590.279377438173
160,-3466.397096082048
161,-3298.131318131256
162,-3306.6387203668364
163,-3288.6835195679446
164,-3139.8982882512905
165,-2949.6272002672736
166,-2842.533793732037
167,-2859.685129247654
168,-2728.847271222031
169,-2577.26674882326
170,-2422.766403998831
171,-2453.7304807044975
172,-2278.6082451468183
173,-2149.2553494996673
174,-1983.2811614860718
175,-2036.5257533514355
176,-1887.4412079641147
177,-1810.4713214985659
178,-1615.6378445795324
179,-1617.2682156615126
180,-1494.8428383540893
181,-1418.5672399828484
182,-1267.844858045356
183,-1275.049511065662
184,-1202.3064647794947
185,-1107.9239646629173
186,-931.8118302997466
187,-900.9367362759579
188,-833.9177848904346
189,-707.9177981582138
190,-529.009452809051
191,-462.884116654611
192,-416.2114427352584
193,-307.6550384376356
194,-205.13662103252554
195,-101.15572295315003
196,-101.17581739702922
197,4.097556968869995
198,96.31794395143875
199,200.45860942503862
200,202.8310076216365
201,332.2105396244234
202,409.67754568125235
203,544.5825640828987
204,543.1347962840915
205,656.798141532025
206,715.174617861693
207,858.367181132984
208,889.2069435707674
209,972.053434647823
210,1007.1097757879254
211,1128.035590866353
212,1149.7688498499456
213,1203.893708276915
214,1254.7199271113805
215,1340.2053239643092
216,1388.9269585213167
217,1407.0681407829727
218,1432.6198384875147
219,1513.7151569753964
220,1586.5905645327957
221,1605.0583323929648
222,1678.3843686742564
223,1726.3191904842656
224,1770.6013187156125
225,1793.2901066597392
226,1836.7041556361685
227,1876.2343269859393
228,1957.880222805592
229,1967.600060961853
230,2020.9753857240248
231,2022.9750528912539
232,2076.696883654614
233,2072.4451749590753
234,2111.1462659719837
235,2135.091762223347
236,2167.9558024712937
237,2170.8193200646906
238,2215.974054142792
239,2239.293579024048
240,2301.2290408248778
241,2285.084536200778
242,2266.2439377356463
243,2254.5015415126113
244,2284.1786269504455
245,2277.848853947473
246,2289.0261927986508
247,2310.357252720294
248,2318.2702381632002
249,2308.936452931218
250,2324.1857655691106
251,2334.345815010184
